number,date,description,location,price,status,notes,parts
117,7/1/2024,Apt 401 Renovation Labor & Materials,25 Orchard,"$2,604.00",Paid,Paid by check 10397 $2604,
118,8/7/2024,Replace Sprinkler Control Box,71-57,$100.00,Paid,Paid by cash,
119,8/17/2024,Apt 302 Kitchen Faucet Replacement,25 Orchard,$200.00,Paid,Paid by cash,
120,8/23/2024,Apt 601 Balcony Waterproofing on Wall,25 Orchard,$450.00,Paid,Paid by cash,
121,9/2/2024,Apt 502 Bathroom Sink Drain Repair,25 Orchard,$120.00,Paid,Paid by cash,
122,9/15/2024,Apt 202 Refirgerator Swap,25 Orchard,$200.00,Paid,Paid by cash,
123,10/10/2024,Apt 402 Window Glass Replacement,25 Orchard,$150.00,Paid,Paid by cash,
124,10/18/2024,Apt 1A Kitchen Drain Repair,25 Orchard,$100.00,Paid,Paid by cash,
125,10/25/2024,Change Outdoor Light Fixtures,7157,$200.00,Paid,,
126,11/24/2024,602 Boiler Leak Repair,25 Orchard,$200.00,Paid,,
127,11/25/2024,Re-modify all Bathroom Roof Exhaust Ducts,25 Orchard,$750.00,Paid,,
128,11/26/2024,Apt 303 No Power on Light and Outlets,25 Orchard,$0.00,Paid,,
129,11/26/2024,Apt 3B Upgrade LED Bulbs in Living Room,7157,$250.00,Paid,,
130,12/4/2024,Apt 2A Heating System Filter Clean,7157,$0.00,Paid,,
131,12/9/2024,Roof Top Bathroom Exhaust Duct Modification,7157,$250.00,Paid,,
132,12/13/2024,Apt 4B Renovation,7157,"$3,800.00",Paid,,
133,12/15/2024,5b Sewer Pipe Leak & Ceiling Repair,7157,$350.00,Paid,,
134,1/21/2025,Apt 203 Water Heater Replacement,25 Orchard,"$1,400.00",Paid,,
135,1/31/2025,Apt 5B Kitchen Faucet Replacement,7157,$250.00,Paid,,
136,2/4/2025,3A Water Heater Replacement,7157,"$1,300.00",Paid,,
137,2/5/2025,Apt 4A Change Out Kitchen Stove,7157,$300.00,Paid,,
138,2/23/2025,Apt 6A Fix A/C United Heating System,7157,$100.00,Paid,,
139,3/29/2025,"Apt 2A&5A Heating Sys Change Out Comustion Fan, Motor Upgrade, LED Bulbs on Wall Soffit",7157,$500.00,Paid,,
140,4/2/2025,Apt 2B Toilet Seat Replacement,7157,$60.00,Paid,,
141,4/4/2025,Apt 2A Shower Body Fixed-,7157,$0.00,Paid,,
142,4/28/2025,Apt 4A Gas Turn On,7157,$300.00,Invoiced,,
143,5/4/2025,2A Showet Body Fix,7157,$50.00,Invoiced,,
144,5/15/2025,Install Gas Detector Throughout Building,7157,$150.00,Invoiced,,
145,5/23/2025,New Lights (2) For Driveway,7157,$350.00,Invoiced,,
